id,causename,val1997,1997,val1998,1998,val1999,1999,val2000,2000,val2001,2001,val2002,2002,val2003,2003,val2004,2004,val2005,2005,val2006,2006,val2007,2007,val2008,2008,val2009,2009,val2010,2010,val2011,2011,val2012,2012,val2013,2013,val2014,2014,val2015,2015,
IRQ,Iraq,35295,1,28245,2,27510,2,32725,1,40440,2,35615,1,22970,2,8370,9,11740,3,20285,1,38465,1,32235,1,20995,4,16955,4,16110,4,13865,8,11340,12,21925,7,119905,3,
FSM,Former Serbia,23530,2,62420,1,79735,1,31885,2,19365,3,18940,3,22025,4,19610,2,21345,1,13950,3,12525,4,,124,,124,,124,,124,,124,,124,,124,,124,
TUR,Turkey,22190,3,17800,3,17350,4,17620,5,19340,4,18200,4,22620,3,14100,3,11140,4,7505,5,5900,7,7715,9,7675,13,6960,14,7130,17,6825,17,6135,23,5560,30,4980,33,
AFG,Afghanistan,13545,4,16005,4,21600,3,25050,3,45390,1,19910,2,13705,7,8245,10,7255,8,7680,4,7670,6,11925,6,25085,1,22255,1,30245,1,30405,1,27840,3,42735,3,171215,2,
LKA,Sri Lanka,9470,5,8890,6,10950,7,9355,7,7570,10,4215,17,3760,24,3825,21,4130,19,3920,14,5045,12,6815,10,9005,11,7495,13,7880,14,7870,15,7250,20,6810,25,5325,31,
ROU,Romania,9035,6,5255,11,5450,14,3805,17,2740,26,4950,15,3205,28,2240,34,2230,32,1520,34,275,65,135,80,335,72,305,73,195,79,160,87,250,80,155,87,120,88,
IRN,Iran,7285,7,7575,8,11780,6,23185,4,11360,5,8460,9,11140,9,9175,7,7850,5,6875,6,5820,8,6020,11,9405,10,11100,7,12680,8,14425,7,13170,10,11175,17,22355,10,
SOM,Somalia,6910,8,9825,5,13520,5,9945,6,11140,7,11735,5,14725,6,7860,14,6515,11,6560,7,9335,5,19380,3,21775,2,16100,5,15260,7,17270,6,18820,8,18155,10,21285,12,
BIH,BiH,5300,9,7515,9,5170,16,8925,8,8710,8,2480,28,4745,19,4970,17,3880,21,1350,40,825,40,1130,41,1625,35,2315,29,2980,30,6405,19,7330,19,10900,18,8905,21,
PAK,Pakistan,5215,10,4510,12,7505,8,6610,11,5585,13,6035,13,8010,12,9015,8,6875,10,6340,8,13200,3,10490,7,10165,8,9420,8,16470,3,20110,5,21195,5,22455,6,45230,7,
DZA,Algeria,4450,11,6230,10,6930,11,4220,15,4635,14,5190,14,7170,14,7980,12,4110,20,2695,20,2545,20,3295,20,3865,22,4135,21,5145,23,5705,22,7990,18,7185,24,7520,23,
UNK,Unknown,4020,12,7895,7,4275,18,5965,12,3935,19,2720,25,3125,29,3165,23,3280,24,2375,23,2335,23,3195,22,5095,20,3320,22,3375,28,3545,27,4290,29,9855,20,22230,11,
ARM,Armenia,3985,13,2740,21,7040,10,3090,19,4045,18,3655,19,5070,18,4080,19,4230,18,3500,16,3520,17,4640,15,6975,14,5645,18,7235,16,5665,23,5405,27,5825,28,4750,34,
IND,India,3820,14,3380,14,6200,12,7025,10,8230,9,8080,10,10775,10,9740,6,5820,13,3520,15,3215,18,2345,25,3090,24,3255,23,2880,31,3295,28,3310,32,3600,34,4545,36,
NGA,Nigeria,3765,15,3370,15,2010,33,2965,21,4525,16,9585,7,12055,8,10305,5,7720,7,5300,11,5210,11,12270,5,12645,6,9140,9,15305,6,10635,13,13960,9,21330,8,29660,9,
GEO,Georgia,3570,16,2630,22,3000,24,1795,30,2915,24,4040,18,7420,13,7890,13,6510,12,3090,18,3635,16,5520,13,11185,7,7595,12,7515,15,11675,10,9815,15,9070,21,7470,24,
ALB,Albania,3215,17,2035,24,3815,20,2425,24,2185,30,2895,22,2795,35,2150,35,1570,42,1050,43,1040,35,1220,37,2120,29,1965,31,3190,29,7760,16,11400,11,17305,11,66520,5,
BGD,Bangladesh,3085,18,2840,19,4445,17,3835,16,3920,20,2300,33,6020,15,5585,15,4285,17,5975,9,5350,10,6005,12,6035,17,6240,16,8600,13,6590,18,9355,16,11905,16,16680,16,
SLE,Sierra Leone,2700,19,2975,17,5405,15,5615,13,6920,11,2335,31,2020,44,1220,50,1130,51,830,48,620,51,915,52,895,51,760,58,1000,53,900,53,935,52,1080,49,985,54,
RUS,Russia,2510,20,2255,23,7060,9,7115,9,11280,6,10340,6,33265,1,28510,1,19865,2,14085,2,16865,2,22305,2,21440,3,19600,2,18955,2,25010,3,42275,2,20235,9,20485,13,
UKR,Ukraine,2475,21,1525,27,3610,21,2235,28,3465,22,2890,23,5100,17,4655,18,3150,26,1505,35,915,38,975,47,995,49,855,52,980,56,1165,50,1120,48,14415,13,20090,14,
SYR,Syria,2395,23,3005,16,4090,19,4560,14,3665,21,2390,30,3015,30,2990,26,3835,22,3420,17,5030,13,4725,14,5435,18,5605,19,9240,12,25675,2,52755,1,127890,1,363840,1,
VNM,Vietnam,2050,24,3425,13,2955,25,2750,23,4580,15,3330,20,4280,20,3380,22,2435,30,1840,31,2375,22,1815,28,2490,26,2365,27,1750,42,1705,42,1620,42,1465,46,1715,47,
SDN,Sudan,1875,25,2750,20,2680,27,2240,27,1845,34,1820,38,2925,33,3100,25,3525,23,2555,21,1550,28,1985,27,2320,28,2570,26,3615,26,3245,29,3920,31,7200,23,9940,19,
COL,Colombia,1665,26,950,36,1910,35,2140,29,3190,23,1870,36,1105,54,1160,51,2190,33,2910,19,2545,19,1070,44,605,59,470,65,445,71,340,70,330,74,345,77,225,81,
AZE,Azerbaijan,1450,29,2920,18,5705,13,2970,20,2870,25,2435,29,3745,25,4005,20,3205,25,2330,24,1370,30,2120,26,2670,25,2145,30,2575,34,2335,35,2760,34,2960,39,2695,42,
AGO,Angola,1275,34,1365,30,3480,22,3415,18,5830,12,3105,21,4125,22,2505,32,1840,36,1480,37,980,37,1140,40,1225,42,1455,38,1260,47,1570,44,1265,44,1130,48,705,59,
MKD,FYR of Macedonia,985,38,640,46,970,48,455,57,4120,17,2335,32,2370,40,2075,36,1625,40,855,47,715,44,925,51,1015,48,8105,10,6570,19,10800,12,11185,13,10445,19,15935,17,
MDA,Moldova,905,40,555,50,2385,30,860,45,1490,41,2725,24,5215,16,5440,16,4665,15,2390,22,1555,27,990,46,1150,44,765,57,655,65,465,68,315,76,480,72,1825,46,
STL,Stateless,905,41,1725,25,2705,26,2405,25,2540,27,1255,46,3850,23,2980,27,2340,31,2105,26,2030,25,2745,23,3225,23,2800,24,2825,32,3930,25,10415,14,16830,12,18365,15,
CZE,Czech Republic,615,48,815,39,2320,31,1760,31,1635,40,4240,16,775,59,170,79,105,84,30,100,80,85,125,83,130,91,65,98,60,102,25,110,40,110,35,112,5,116,
ERI,Eritrea,610,49,770,42,1280,42,1220,39,1460,42,2000,34,2720,37,2605,30,4650,16,4690,13,3930,15,9555,8,9735,9,8050,11,10430,10,11995,9,20300,7,46750,2,45290,6,
GMB,+ACI-Gambia, The+ACI-,200,70,110,77,90,89,120,77,245,72,290,72,455,69,645,58,530,59,400,60,510,55,1200,38,1515,38,1405,39,1790,41,2125,38,4055,30,11935,15,12690,18
MLI,Mali,150,73,60,86,1700,36,55,89,130,81,125,82,1390,50,1250,46,975,54,220,71,695,46,4070,17,1225,41,1055,46,4135,25,2675,33,7000,21,13130,14,7870,22,
HTI,Haiti,110,75,360,59,510,59,5,108,5,110,5,112,1510,48,3160,24,5075,14,1855,29,680,47,1425,33,1840,34,2350,28,2290,36,1840,39,1675,41,2005,42,2650,43,
COD,Democratic Republic of the Congo,75,80,0,114,10,108,15,104,5,108,6140,12,10295,11,8240,11,6900,9,4760,12,4000,14,4440,16,5240,19,5805,17,6535,20,8585,14,8615,17,7540,22,5340,30,
CHN,China (including Hong Kong),0,117,0,118,0,120,15,106,45,96,6795,11,15305,5,11510,4,7820,6,5545,10,5610,9,3270,21,6240,16,6375,15,6475,21,6080,20,6035,24,5775,29,5965,26,
KSV,Kosovo (under United Nations Security Council Resolution 1244/99),,122,,122,,122,,122,,122,,122,,122,,122,,122,,122,,122,0,123,14970,5,15160,6,10705,9,10925,11,21180,6,38445,4,72475,4,
MNE,Montenegro,,123,,123,,123,,123,,123,,123,,123,,123,,123,,123,,123,310,69,285,76,435,67,675,63,1310,47,985,50,1870,45,4075,37,
SRB,Serbia,,124,,124,,124,,124,,124,,124,,124,,124,,124,,124,,124,15710,4,6445,15,18855,3,15645,5,21075,4,22740,4,31175,5,29955,8,
ZWE,Zimbabwe,60,87,80,83,235,74,1025,43,2140,31,9100,8,4255,21,2775,29,1560,43,2305,25,2470,21,385,64,8105,12,2720,25,1005,52,710,60,615,62,525,68,415,77,
